33600,31550,30425,29897,29289,29149,28212,26645,25599,26477,19333,
33082,31272,30615,29999,29479,29216,27878,26951,25375,25111,20154,
32795,31172,30679,30137,29725,28993,28060,27278,25267,25201,20466,
32749,31059,30498,30164,29586,29495,27967,26996,25278,25235,20412,
32790,31782,30906,29946,29405,29169,28121,27112,25207,25177,20454,
32808,31416,30465,29859,29454,29224,28105,27086,25303,25116,20503,
32740,31034,30934,30323,29274,29042,27920,26937,25143,25391,20355,
33011,31238,30757,30101,29509,29260,27875,26873,25672,25355,19408,
32777,31154,31069,29822,29351,29147,27968,26968,25979,24776,20782,
32703,31015,30599,30075,29481,29194,28438,26792,25408,25387,19199,
32903,31042,30448,29832,29322,29246,28122,26839,25288,25241,19293,
32713,31406,30428,29719,29854,28951,27935,26763,25342,24951,19299,
32703,31001,31142,29957,29316,29561,27929,26691,25329,24690,21070,
32866,31208,30604,30205,29459,29470,27932,27119,25599,25227,19733,
32832,31147,30474,29746,29341,28969,27963,26903,25300,25310,19531,
33254,31331,30584,29893,29228,29039,27930,26692,25323,25323,19235,
33012,31495,31002,29960,29790,29075,27902,27042,25371,25291,19860,
32757,31171,30532,29797,29591,28941,27879,26604,25444,25537,19328,
32786,31183,31207,29786,29262,29148,27952,26785,25624,25210,19310,
32823,31727,30498,29793,29304,29268,27900,27064,25360,25522,19413,
